"seed","id","X","Z","A1","Y1","A2","Y2"
813087.581606472,1,1.6446669879046,0,0,-0.693796126658365,1,4.83854387949479
813087.581606472,2,0.193277576820184,1,0,0.0433487184374991,0,3.36431156905881
813087.581606472,3,1.69429649963415,1,1,0.380608382016955,0,4.01078055041722
813087.581606472,4,3.03419868213761,0,0,1.88439165672656,1,0.341347579495169
813087.581606472,5,-0.454289339365853,0,1,0.31600409079693,1,3.40563066762979
813087.581606472,6,-0.766997126171797,0,1,-1.65963169516327,1,3.56832128068323
813087.581606472,7,0.358487387939048,0,1,-1.75075918607913,1,3.55899631753114
813087.581606472,8,0.792924602517731,0,0,0.0613201007231094,1,6.25906336444999
813087.581606472,9,0.505799174041694,1,1,-1.66006331045534,0,2.20298253923357
813087.581606472,10,-2.34690028034492,1,1,-1.87437450063612,1,3.98500742106978
813087.581606472,11,-1.19893801346072,1,1,-1.35747603798141,0,4.71289672598897
813087.581606472,12,0.771502185892923,1,0,-0.0663440561084703,0,3.93617195611966
813087.581606472,13,-1.86732157191994,1,0,-0.10590125046033,1,8.63565184681227
813087.581606472,14,1.63762859892884,0,1,1.83860841409117,0,-3.1999322827498
813087.581606472,15,0.887611980665909,1,0,0.00146863233838102,0,1.38477160425367
813087.581606472,16,1.04027606414608,0,0,0.538418918214708,1,2.27014315108186
813087.581606472,17,0.285164882733434,1,0,-0.90593688817892,1,5.60997095063485
813087.581606472,18,-1.919809766405,0,0,-0.989562391305523,0,3.04577343007517
813087.581606472,19,0.475549062317512,0,1,-1.21281435280159,1,3.26628712637066
813087.581606472,20,-1.30273001290992,1,0,0.297498092179692,1,8.59910908254278
813087.581606472,21,0.0584465093838317,0,0,0.34700446998524,1,4.69305620745265
813087.581606472,22,2.11938786117282,1,0,2.85562824490709,0,-6.58850854876905
813087.581606472,23,-1.289839609086,1,1,-1.0566480764412,0,3.67920083669962
813087.581606472,24,-2.2523758491057,1,1,-1.38039131288825,0,5.00934965582577
813087.581606472,25,0.645878965298602,1,0,1.4753276761119,1,1.02106201857493
813087.581606472,26,-0.86350827365113,0,1,-2.85837073203943,1,-0.593206555310781
813087.581606472,27,-0.757413418447288,1,0,-2.987362980945,0,-2.39658874327716
813087.581606472,28,0.695270761743515,0,1,1.18652351197419,1,2.88356055626755
813087.581606472,29,1.17918950500226,1,0,-0.0769265750238177,1,6.15939389866211
813087.581606472,30,-1.63122312453243,0,1,-0.903651553492174,0,4.08210364982525
813087.581606472,31,-0.613539446204965,0,1,-1.61421384887075,1,2.82911563873353
813087.581606472,32,-0.792434578057566,1,1,-2.1350168609803,1,3.90354474289036
813087.581606472,33,1.0360153004124,1,0,1.52847333355908,0,0.129433367851499
813087.581606472,34,0.174230800377883,0,1,0.0506276210152439,0,2.191375678364
813087.581606472,35,0.595383741285615,1,0,0.180474042324129,0,3.30491888878019
813087.581606472,36,-0.52479542586437,0,1,-1.14081276461982,0,2.89441636643049
813087.581606472,37,0.366948163199375,0,1,-1.77943395067395,0,2.00312213763965
813087.581606472,38,-1.35183346834962,0,1,-3.33433886142962,0,-3.78808265557531
813087.581606472,39,-1.04598382526909,0,0,-0.790963191151148,0,3.05733363720701
813087.581606472,40,0.161221776622348,0,1,1.15066580540328,1,3.96981686449437
813087.581606472,41,-0.473911591492187,0,1,-0.327869007658548,0,3.34366107392502
813087.581606472,42,0.168014506616039,0,1,-1.22633739036771,1,3.51367542224363
813087.581606472,43,-0.70776468199143,0,1,-1.8844834773548,1,3.14421799333497
813087.581606472,44,0.101591629659286,0,1,-1.98625870773676,1,2.91504377160549
813087.581606472,45,0.0951282151092986,1,0,0.130362733615282,0,5.06503215645121
813087.581606472,46,-0.55745320325611,0,1,-2.87430055128669,1,-1.28396778970452
