"seed","id","X","Z","A1","Y1","A2","Y2","Time1","Time2"
195986.165948346,1,0.392375121799948,1,0,-0.0319952676976508,1,6.28453694748856,0,0
195986.165948346,2,-0.375016814729611,0,1,-2.11056770400874,1,3.76697710813145,0,0
195986.165948346,3,0.420044354264269,0,1,0.180048664213866,0,3.14526504610571,0,0
195986.165948346,4,0.646561967468245,0,0,0.677057016132046,0,2.65749246116224,0,0
195986.165948346,5,0.772507741330513,1,1,-1.07797032662689,1,4.96043838651647,0,0
195986.165948346,6,-1.30832660375285,1,1,-1.64499770065508,1,6.97211989108891,0,0
195986.165948346,7,0.148174058376875,0,1,-0.430242642131909,1,4.42804332676563,0,0
195986.165948346,8,1.94736901502259,0,0,0.957475326582067,1,4.55155704584496,0,0
195986.165948346,9,-1.79031768880844,0,1,-1.37706008615938,1,4.57350490208579,0,0
195986.165948346,10,-0.197295854759206,0,0,-0.159162831848502,1,4.89894639272638,0,0
195986.165948346,11,-0.545529164910882,0,1,-3.01323322315373,0,-3.03098334445996,0,0
195986.165948346,12,1.49280145844379,0,0,1.60502562568449,0,-0.224734877062161,0,0
195986.165948346,13,-0.782667140903815,1,1,-0.0677336171243299,0,4.56012956413363,0,0
195986.165948346,14,-1.21559046181768,1,0,-1.09275845490642,1,7.02624786172061,0,0
195986.165948346,15,-1.04268192451517,1,1,-0.633787634351105,0,5.34243653914953,0,0
195986.165948346,16,-1.26911375362786,1,0,-0.157152435906689,0,4.03546224291424,0,0
195986.165948346,17,-2.28040128211732,0,0,-2.88554585085202,1,-0.429901258841495,0,0
195986.165948346,18,1.27837946651699,0,1,-0.753060124558906,1,3.52803651554417,0,0
195986.165948346,19,-0.566847027718714,1,0,0.428035589886587,0,2.85689162504248,0,0
195986.165948346,20,-0.0391240261021697,1,1,1.32955258299158,0,1.00749631587632,0,0
195986.165948346,21,0.231269799802128,1,0,1.5960804576296,1,2.92360806616097,0,0
195986.165948346,22,-1.19794714873666,0,1,-2.37844851835121,1,0.778477346177539,0,0
195986.165948346,23,1.32626948172034,0,1,-0.265365086026082,1,3.50414366592137,0,0
195986.165948346,24,0.639811307874189,0,1,0.896833114030322,0,2.8781329663016,0,0
195986.165948346,25,1.13164330438613,1,0,0.779034757741282,1,4.73414974791015,0,0
195986.165948346,26,-0.18798911712416,1,0,-0.756564229478776,1,7.92402919390142,0,0
195986.165948346,27,-1.1480058147424,0,1,-1.17144589256512,1,2.33285567020042,0,0
195986.165948346,28,0.936255639180734,0,1,1.63802515526507,0,-1.36085749579613,0,0
195986.165948346,29,0.256525353740062,0,0,0.0359457786700533,0,2.63111934120887,0,0
195986.165948346,30,0.793060794840337,0,0,-1.21655293666574,1,4.25914914112169,0,0
195986.165948346,31,-0.287685970402646,0,1,-0.00334150395426147,0,2.00539962725045,0,0
195986.165948346,32,-0.225582918406743,1,0,0.4390512052582,0,4.11808563658242,0,0
195986.165948346,33,-0.283323994367932,0,0,0.791286890884844,1,3.59146081034119,0,0
195986.165948346,34,-1.66704420011352,0,1,-3.4898971168307,0,-4.07292678163706,0,0
195986.165948346,35,0.0218037523899592,0,1,-3.12179926433496,1,-1.58509373396175,0,0
195986.165948346,36,0.856928544191981,0,1,1.02330621374051,0,1.89737621452278,0,0
195986.165948346,37,0.587584469210022,1,0,0.151861242772208,0,2.71791262789518,0,0
195986.165948346,38,0.195485475003725,0,1,0.41549573940344,0,1.3330635750062,0,0
195986.165948346,39,-1.48945502446361,1,1,-2.12611834224167,0,1.86706284038496,0,0
195986.165948346,40,0.098153835306119,1,0,-0.233369486268857,1,8.67577903607542,0,0
