"seed","id","L0","Z","A0","P0","L1","A1","P1","Y","O"
458536.160311617,1,1.32399378147428,0,0,0.410476261098135,1.42005636054741,0,0.638954318763032,-0.698080724642975,0
458536.160311617,1,1.32399378147428,0,0,0.410476261098135,1.42005636054741,1,0.638954318763032,1.30191927535703,1
458536.160311617,1,1.32399378147428,0,1,0.410476261098135,0.670056360547411,0,0.651128719355706,2.11950381617814,0
458536.160311617,1,1.32399378147428,0,1,0.410476261098135,0.670056360547411,1,0.651128719355706,3.11950381617814,0
458536.160311617,2,-1.09259017232226,1,0,0.609757997269653,-0.0150541641212135,0,0.36724845621341,4.14096758001674,0
458536.160311617,2,-1.09259017232226,1,0,0.609757997269653,-0.0150541641212135,1,0.36724845621341,6.54096758001674,0
458536.160311617,2,-1.09259017232226,1,1,0.609757997269653,-1.01505416412121,0,0.400269981619999,4.61085925177431,1
458536.160311617,2,-1.09259017232226,1,1,0.609757997269653,-1.01505416412121,1,0.400269981619999,6.01085925177431,0
458536.160311617,3,0.648954697184004,1,0,0.395445857907875,1.4620121459716,0,0.507499923977094,1.93299900606495,0
458536.160311617,3,0.648954697184004,1,0,0.395445857907875,1.4620121459716,1,0.507499923977094,4.33299900606495,1
458536.160311617,3,0.648954697184004,1,1,0.395445857907875,0.462012145971597,0,0.52479020401998,5.35702329800814,0
458536.160311617,3,0.648954697184004,1,1,0.395445857907875,0.462012145971597,1,0.52479020401998,6.75702329800814,0
458536.160311617,4,-0.584310729238,0,0,0.643859533463084,0.311996139040149,0,0.465074916874108,3.35907813087219,0
458536.160311617,4,-0.584310729238,0,0,0.643859533463084,0.311996139040149,1,0.465074916874108,5.35907813087219,0
458536.160311617,4,-0.584310729238,0,1,0.643859533463084,-0.438003860959851,0,0.492907161005335,4.51457233943241,0
458536.160311617,4,-0.584310729238,0,1,0.643859533463084,-0.438003860959851,1,0.492907161005335,5.51457233943241,1
458536.160311617,5,0.653371442418219,0,0,0.493328965578733,1.15831920955446,0,0.584074116256493,0.627823309590994,0
458536.160311617,5,0.653371442418219,0,0,0.493328965578733,1.15831920955446,1,0.584074116256493,2.62782330959099,0
458536.160311617,5,0.653371442418219,0,1,0.493328965578733,0.408319209554461,0,0.613908283779277,3.05280212392269,0
458536.160311617,5,0.653371442418219,0,1,0.493328965578733,0.408319209554461,1,0.613908283779277,4.05280212392269,1
458536.160311617,6,-1.30998608752316,1,0,0.635293237593516,0.0438574859337946,0,0.340382328206876,3.45215574390588,0
458536.160311617,6,-1.30998608752316,1,0,0.635293237593516,0.0438574859337946,1,0.340382328206876,5.85215574390588,0
458536.160311617,6,-1.30998608752316,1,1,0.635293237593516,-0.956142514066205,0,0.372685349814125,4.03987071577347,1
458536.160311617,6,-1.30998608752316,1,1,0.635293237593516,-0.956142514066205,1,0.372685349814125,5.43987071577346,0
458536.160311617,7,-0.907624710274853,1,0,0.587541758807832,1.08126263815543,0,0.34803381788245,4.01468006623495,0
458536.160311617,7,-0.907624710274853,1,0,0.587541758807832,1.08126263815543,1,0.34803381788245,6.41468006623495,0
458536.160311617,7,-0.907624710274853,1,1,0.587541758807832,0.0812626381554324,0,0.385547366947766,6.67720534254581,1
