"seed","id","X","Z","A1","Y1","A2","Y2"
950300.640067397,1,0.0552689284588526,0,1,0.0163359827075139,1,2.67203393284528
950300.640067397,2,1.38748897724954,1,0,1.92372765842713,0,-0.927541454422407
950300.640067397,3,0.766217320084249,0,0,0.581864848799957,1,5.01526415476008
950300.640067397,4,0.227037273649744,1,1,0.713400413340357,0,2.17172063995591
950300.640067397,5,0.0289113690670363,0,0,0.133221429682963,1,3.10563179953357
950300.640067397,6,1.14227443133807,1,1,0.946886298635602,1,2.64799379174359
950300.640067397,7,-0.0019980891124292,0,1,0.315205750242991,0,4.1630774574879
950300.640067397,8,0.0192682596355219,1,1,-2.21731533418235,1,4.21343887735259
950300.640067397,9,-0.369830121564483,1,1,-0.762461659208734,1,7.3013596590728
950300.640067397,10,0.907353004168681,0,0,0.901403450723958,1,3.05503377317695
950300.640067397,11,-0.777886050020774,1,1,-3.03447838557644,0,0.161207342466984
950300.640067397,12,-0.176439190778794,1,0,0.204884428418467,0,2.72093113659889
950300.640067397,13,-0.387744299990009,1,1,-0.960665947955437,1,4.34662390522498
950300.640067397,14,0.965704199230805,1,0,2.0949920107156,1,0.945615670102192
950300.640067397,15,0.229269172055674,0,1,0.181434456077197,1,4.32049989551094
950300.640067397,16,0.0964392798255813,0,0,-0.802320521267489,0,3.35632425228906
950300.640067397,17,1.02330389621921,1,1,1.43682805016403,0,-0.0115912960789657
950300.640067397,18,-1.49671509933301,0,1,-1.78695671631527,0,1.31907629812318
950300.640067397,19,1.52117645718935,1,0,1.36911681690785,1,4.51866480359488
950300.640067397,20,0.990026544450829,0,0,1.1052948186995,1,1.0387570971108
950300.640067397,21,0.833781182988768,0,0,1.47046494863923,0,-2.10212027412671
950300.640067397,22,-0.918115672741961,1,1,-3.25249092292943,1,-2.05335512479888
950300.640067397,23,0.541542348046747,0,0,1.27021244030085,1,1.46073800415624
950300.640067397,24,-0.71444360990374,1,1,-1.22677811067889,0,4.10721899950447
950300.640067397,25,0.613355210057027,0,0,0.998094379907897,0,0.546072552559395
950300.640067397,26,1.17537765118315,0,0,0.482245389905238,0,2.55568664336756
950300.640067397,27,-1.12464652150376,0,1,-1.45059555221528,0,3.80218532004495
950300.640067397,28,-0.0416169799765361,0,1,-2.0341726582444,0,1.37511835490856
950300.640067397,29,0.546379916527048,0,1,-0.78776299816969,0,1.88623175072192
